Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,user id,Interaction type,Date,Time,Product Name,Is Amazon Seller
12.0,30.0,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,1,Yes,10.0,Bank Transfer,Fortnightly,12.0,view,2023-10-21,08:00:00,DC Cover Girls: Black Canary by Joëlle Jones Statue,Y
13.0,61.0,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,Express,1,Yes,37.0,Venmo,Fortnightly,13.0,like,2023-10-22,08:00:00,"Baby Doll Bedding Chevron Window Valance and Curtain Set, Orange",Y
14.0,65.0,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Express,1,Yes,31.0,PayPal,Weekly,14.0,view,2023-10-23,08:00:00,"LEGO Minecraft Creeper BigFig and Ocelot Characters 21156 Buildable Toy Minecraft Figure Gift Set for Play and Decoration, New 2020 (184 Pieces)",Y
15.0,64.0,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,Free Shipping,1,Yes,34.0,Debit Card,Weekly,15.0,like,2023-10-24,08:00:00,C&D Visionary DC Comic Originals Flash Logo Sticker,Y
16.0,64.0,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,1,Yes,8.0,PayPal,Monthly,16.0,like,2023-10-25,08:00:00,"The Learning Journey ABC Melody Maker, Primary",Y
17.0,25.0,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,1,Yes,44.0,Debit Card,Bi-Weekly,17.0,purchase,2023-10-26,08:00:00,"The Complete Common Core: State Standards Kit, Grade 5",Y
18.0,53.0,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,1,Yes,36.0,Venmo,Quarterly,18.0,view,2023-10-27,08:00:00,Flash Furniture 25''W x 45''L Trapezoid Red HP Laminate Activity Table - Height Adjustable Short Legs,Y
19.0,52.0,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Free Shipping,1,Yes,17.0,Cash,Weekly,19.0,like,2023-10-28,08:00:00,Schylling Veterinarian Kit,Y
20.0,66.0,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Standard,1,Yes,46.0,Debit Card,Bi-Weekly,20.0,purchase,2023-10-29,08:00:00,Yellies! Frizz; Voice-Activated Spider Pet; Ages 5 & Up,Y
21.0,21.0,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Express,1,Yes,50.0,Cash,Every 3 Months,21.0,purchase,2023-10-30,08:00:00,Disney HK318329 Sofia The First Sleepover Set,Y
22.0,31.0,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,1,Yes,22.0,Debit Card,Quarterly,22.0,view,2023-10-31,08:00:00,Team Associated 9665 Hinge Pin Brace with Hinge Pins B4/T4,Y
23.0,56.0,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,Yes,Store Pickup,1,Yes,32.0,Debit Card,Annually,23.0,like,2023-11-01,08:00:00,"PLUS PLUS - Construction Building Toy, Open Play Set - 3,600 Pieces with Storage Tub - Basic Color Mix",Y
24.0,31.0,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Express,1,Yes,40.0,Credit Card,Weekly,24.0,view,2023-11-02,08:00:00,"Big Party Pack Orange Peel Plastic Plates | 10.25"" | Pack of 50 | Party Supply",Y
25.0,18.0,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,Yes,Store Pickup,1,Yes,16.0,Debit Card,Weekly,25.0,like,2023-11-03,08:00:00,Peppa Pig Shape Sorter Clock Puzzle (12Piece),Y
26.0,18.0,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Express,1,Yes,14.0,PayPal,Annually,26.0,like,2023-11-04,08:00:00,Huffy Kids Bikes 16 & 20 inch with Streamers and BMX Pegs,Y
27.0,38.0,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,1,Yes,13.0,Credit Card,Annually,27.0,purchase,2023-11-05,08:00:00,NKOK Sonic and Sega All Stars Racing Remote Controlled Car - Sonic The Hedgehog,Y
28.0,56.0,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,1,Yes,7.0,Bank Transfer,Every 3 Months,28.0,view,2023-11-06,08:00:00,Industro Stainless Steel Hose Clamps,Y
29.0,54.0,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,1,Yes,41.0,PayPal,Every 3 Months,29.0,like,2023-11-07,08:00:00,"Oopsy Daisy Birchwood Owl Growth Chart, Pink, 12"" x 42""",Y
30.0,31.0,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,1,Yes,14.0,Credit Card,Weekly,30.0,purchase,2023-11-08,08:00:00,Springbok Puzzles - Christmas Wishes - 400 Piece Jigsaw Puzzle - Large 26.75 Inches by 20.5 Inches Puzzle - Made in USA - Unique Cut Interlocking Pieces - Big Pieces for Kids & Small Pieces for Adults,Y
31.0,57.0,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Standard,1,Yes,16.0,Credit Card,Monthly,31.0,purchase,2023-11-09,08:00:00,Franklin Sports Eye Black Stickers for Kids - Customizable Lettering Baseball and Football Eye Black Stickers - White Pencil Included,Y
32.0,33.0,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,1,Yes,45.0,Venmo,Monthly,32.0,view,2023-11-10,08:00:00,Costume Sunglasses Clown from IT Sun-Staches Party Favors UV400,Y
33.0,36.0,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,1,Yes,37.0,Venmo,Annually,33.0,like,2023-11-11,08:00:00,"Jay Franco Disney Frozen 2 Forest Spirit Twin/Full Comforter & Sham Set, Mutli",Y
34.0,54.0,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,1,Yes,45.0,Cash,Quarterly,34.0,view,2023-11-12,08:00:00,TAMASHII NATIONS Bandai S.H. Figuarts Captain America & Tamashii Effect Explosion Avengers: Infinity War Action Figure,N
35.0,36.0,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,1,Yes,38.0,PayPal,Quarterly,35.0,like,2023-11-13,08:00:00,"Forum Novelties Union Officer Child's Costume, Medium",Y
36.0,54.0,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,1,Yes,48.0,Credit Card,Bi-Weekly,36.0,like,2023-11-14,08:00:00,"Weiler 14506 Nylox Cup Brush, 6"", 0.40/80SC Crimped Fill, 5/8""-11 UNC Nut",Y
37.0,35.0,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,1,Yes,44.0,PayPal,Fortnightly,37.0,purchase,2023-11-15,08:00:00,Disney Mickey Golf Ball Spinner Pewter Key Ring Key Accessory,Y
38.0,35.0,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,1,Yes,10.0,PayPal,Weekly,38.0,view,2023-11-16,08:00:00,"Anagram International 3085101 Go Team Megaphone Shop Balloon Pack, 29""",Y
39.0,29.0,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,1,Yes,44.0,Venmo,Every 3 Months,39.0,like,2023-11-17,08:00:00,"Happy Birthday Jointed Letter Banner, Under Construction",Y
40.0,70.0,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,Yes,Express,1,Yes,18.0,Credit Card,Monthly,40.0,purchase,2023-11-18,08:00:00,Poopsie Unicorn Crush with Glitter and Slime Surprise (2-Pack),Y
41.0,69.0,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,1,Yes,31.0,Debit Card,Quarterly,41.0,purchase,2023-11-19,08:00:00,Funko Pop! Games: Persona 5 - The Joker (Styles May Vary),Y
42.0,67.0,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Standard,1,Yes,40.0,Venmo,Annually,42.0,view,2023-11-20,08:00:00,Klutz Decorate This Journal Toy,Y
43.0,20.0,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,1,Yes,15.0,PayPal,Annually,43.0,like,2023-11-21,08:00:00,Random Esoteric Creature Generator for Classic Fantasy Rpgs & Their Modern Simulacra,Y
44.0,25.0,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,1,Yes,19.0,PayPal,Fortnightly,44.0,view,2023-11-22,08:00:00,Bachmann Trains Great Northern Gondola,Y
45.0,39.0,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,1,Yes,45.0,PayPal,Weekly,45.0,like,2023-11-23,08:00:00,"Disney's Alice in Wonderland, ""The Hatter's Mad"" Woven Tapestry Throw Blanket, 48"" x 60"", Multi Color",Y
46.0,50.0,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,1,Yes,25.0,PayPal,Annually,46.0,like,2023-11-24,08:00:00,Pacific Play Tent Agility Dog Training Chute,Y
47.0,57.0,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,Yes,Store Pickup,1,Yes,45.0,Cash,Quarterly,47.0,purchase,2023-11-25,08:00:00,Barbie Babysitters Inc. Popcorn Set,Y
48.0,55.0,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,1,Yes,36.0,Cash,Weekly,48.0,view,2023-11-26,08:00:00,"Losi Ride Height Gauge, LOSA99173",Y
49.0,42.0,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,1,Yes,38.0,Cash,Monthly,49.0,like,2023-11-27,08:00:00,Melissa & Doug Disney Cinderella Rags to Riches Wooden Magnetic Game With 10 Magnetic Pieces and Wand,Y
50.0,68.0,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,1,Yes,34.0,Debit Card,Bi-Weekly,50.0,purchase,2023-11-28,08:00:00,VTech Twist and Hug Koala Rattle,Y
51.0,49.0,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,1,Yes,39.0,Debit Card,Bi-Weekly,51.0,purchase,2023-11-29,08:00:00,"LAMO 5"" Vinyl Figure - Legacy Gamers Dr Disrespect, Red",Y
52.0,59.0,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,1,Yes,7.0,Credit Card,Quarterly,52.0,view,2023-11-30,08:00:00,"Marvel Avengers Assemble Captain America Costume T-Shirt with Mask, Small",Y
53.0,42.0,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,1,Yes,26.0,Credit Card,Weekly,53.0,like,2023-12-01,08:00:00,"Vallejo Game Color Sunblast Yellow Paint, 17ml",Y
54.0,29.0,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,1,Yes,35.0,Credit Card,Weekly,54.0,view,2023-12-02,08:00:00,"Mudpuppy Unicorn Magic Activity Coloring Roll, Age 4+, Creative Fun with Coloring, Mazes, Spot The Difference and More, Includes 5 Colored Pencils, Easy to Store Unicorn Paper Roll",Y
55.0,47.0,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,1,Yes,35.0,Debit Card,Bi-Weekly,55.0,purchase,2023-12-03,08:00:00,Top Trumps Liverpool FC 18/19 Card Game,Y
56.0,40.0,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,1,Yes,49.0,Credit Card,Annually,56.0,view,2023-12-04,08:00:00,Hot Wheels Track Builder Straight Track with Car AND Hot Wheels Race Case Track Set,Y
57.0,41.0,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,1,Yes,46.0,Credit Card,Weekly,57.0,like,2023-12-05,08:00:00,"Wild Republic Mermaid Toy, Slap Bracelet, Gifts for Kids, Purple, Huggers 12""",Y
58.0,21.0,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,1,Yes,17.0,Debit Card,Fortnightly,58.0,view,2023-12-06,08:00:00,Melissa & Doug Annie Doll & Feeding Set Bundle,Y
59.0,69.0,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,1,Yes,29.0,Venmo,Monthly,59.0,like,2023-12-07,08:00:00,"LeapFrog LeapStart Preschool 4-in-1 Activity Book Bundle with ABC, Shapes & Colors, Math, Animals",Y
60.0,63.0,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,1,Yes,4.0,Debit Card,Weekly,60.0,like,2023-12-08,08:00:00,Sherlock Holmes - The Challenge of Irene Adler,Y
61.0,50.0,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,Yes,Express,1,Yes,17.0,Cash,Weekly,61.0,purchase,2023-12-09,08:00:00,Great Eastern Entertainment Boys Attack On Titan - Levi Wallet,Y
62.0,55.0,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,1,Yes,21.0,Credit Card,Every 3 Months,62.0,view,2023-12-10,08:00:00,Domez My Hero Academia 4-Piece Bundle,Y
63.0,30.0,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,1,Yes,31.0,Credit Card,Fortnightly,63.0,like,2023-12-11,08:00:00,"Paw Patrol, Mighty Pups Charged Up Chase’s Deluxe Vehicle with Lights and Sounds",Y
64.0,33.0,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,1,Yes,43.0,Credit Card,Weekly,64.0,purchase,2023-12-12,08:00:00,Alex Discover Button Art Activity Set Kids Art and Craft Activity,Y
65.0,65.0,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,Yes,Standard,1,Yes,18.0,Debit Card,Fortnightly,65.0,purchase,2023-12-13,08:00:00,DC Collectibles DCTV: Black Lightning Resin Statue,Y
66.0,65.0,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,1,Yes,44.0,Venmo,Every 3 Months,66.0,view,2023-12-14,08:00:00,Rubie's Adult 2-Tone Costume Wig,Y
67.0,31.0,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,1,Yes,3.0,Venmo,Every 3 Months,67.0,like,2023-12-15,08:00:00,Funko Pop! Rides: Mulan - Mulan On Khan,Y
68.0,45.0,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,1,Yes,49.0,Debit Card,Monthly,68.0,view,2023-12-16,08:00:00,Flaghouse Chrome Bowling Ball Ramp,Y
69.0,57.0,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,1,Yes,21.0,Cash,Every 3 Months,69.0,like,2023-12-17,08:00:00,"Trends International DC Comics Movie-Batman v Superman Wall Poster, 14.725"" x 22.375"", Premium Unframed",Y
70.0,48.0,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,Yes,Express,1,Yes,5.0,Cash,Weekly,70.0,like,2023-12-18,08:00:00,"Aurora World Sweet and Softer Perky Penguin 9.5"" Plush",Y
71.0,22.0,Male,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,Yes,Express,1,Yes,32.0,Debit Card,Every 3 Months,71.0,purchase,2023-12-19,08:00:00,Baby Alive Luv 'n Snuggle Baby Doll Blond,Y
72.0,36.0,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,Yes,Express,1,Yes,34.0,Bank Transfer,Annually,72.0,view,2023-12-20,08:00:00,Mega Construx Welliewishers Playful Playhouse Buildable Playset,Y
73.0,18.0,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,1,Yes,21.0,Bank Transfer,Every 3 Months,73.0,like,2023-12-21,08:00:00,Aurora World Miyoni Poodle Pup Plush,Y
74.0,48.0,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,1,Yes,43.0,Bank Transfer,Bi-Weekly,74.0,purchase,2023-12-22,08:00:00,"Squish-Dee-Lish Squishy Jumbo Toy, Squishies - Slow Rising Pup-Corn, Soft Kids Squishy Toys 86715",Y
75.0,49.0,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,Yes,Express,1,Yes,3.0,Cash,Monthly,75.0,purchase,2023-12-23,08:00:00,"Mon AMI Pink Piglet Ballerina Designer Plush Doll, Exquisite Craftmanship, Premium Quality, Cuddling, Collecting & Playing Toy, Baby or Toddler Gift 18"", Multicolor",Y
76.0,64.0,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,1,Yes,21.0,Credit Card,Annually,76.0,view,2023-12-24,08:00:00,Proline 1013214 Hyrax 2G8 Rock Terrain Truck Tires (2),Y
77.0,50.0,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,1,Yes,32.0,Venmo,Monthly,77.0,like,2023-12-25,08:00:00,RoomMates Curious George Peel and Stick Giant Wall Decal - RMK1082GM,Y
78.0,22.0,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,1,Yes,36.0,Debit Card,Fortnightly,78.0,view,2023-12-26,08:00:00,NECA - Teenage Mutant Ninja Turtles (1990 Movie) Prop Replica,Y
79.0,50.0,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,1,Yes,50.0,Venmo,Fortnightly,79.0,like,2023-12-27,08:00:00,Hansa Ostrich Baby Plush,Y
80.0,38.0,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,1,Yes,43.0,Bank Transfer,Every 3 Months,80.0,like,2023-12-28,08:00:00,RPM 73162 Axle Carriers Black 1/16 Traxxas Black,Y
81.0,19.0,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,1,Yes,24.0,Credit Card,Every 3 Months,81.0,purchase,2023-01-01,00:00:00,Mikasa VSO2000 FIVB Replica Volleyball,Y
82.0,67.0,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,Yes,Express,1,Yes,36.0,Credit Card,Every 3 Months,82.0,view,2022-12-28,10:00:00,The Corps Special Forces Action Figures & Vehicle Deluxe Playset (Packaging & Colors May Vary),Y
83.0,19.0,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,1,Yes,21.0,Credit Card,Every 3 Months,83.0,like,2022-12-29,10:00:00,Creativity for Kids Clay Keychains,Y
84.0,36.0,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,Yes,Standard,1,Yes,34.0,Bank Transfer,Weekly,84.0,purchase,2022-12-30,10:00:00,Herbaceous,Y
85.0,52.0,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,Yes,Standard,1,Yes,42.0,Bank Transfer,Every 3 Months,85.0,purchase,2022-12-31,10:00:00,"Wild Republic Snake Plush, Snake Stuffed Animal, Plush Toy, Pet Snake, Sherbert, 54""",Y
86.0,53.0,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,1,Yes,2.0,Debit Card,Bi-Weekly,86.0,view,2023-01-01,10:00:00,"NPW-USA NPW67309 Drinking Buddies Dice Game, 6-Piece Set",Y
87.0,24.0,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,1,Yes,47.0,Cash,Bi-Weekly,87.0,like,2023-01-02,10:00:00,Blade 130 S BNF Basic With Safe,Y
88.0,52.0,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,1,Yes,44.0,Debit Card,Fortnightly,88.0,view,2023-01-03,10:00:00,"Madame Alexander 8"" ICY Elegance Light Skin Tone Blue Eyes/Blonde Hair",Y
89.0,33.0,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,1,Yes,35.0,Credit Card,Monthly,89.0,like,2023-01-04,10:00:00,NCAA Georgia Bulldogs Toy Puzzle Cube,Y
90.0,47.0,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,Yes,Next Day Air,1,Yes,15.0,Cash,Quarterly,90.0,like,2023-01-05,10:00:00,COBI Historical Collection M3 Grant Tank,Y
91.0,25.0,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,Yes,Express,1,Yes,29.0,Credit Card,Monthly,91.0,purchase,2023-01-06,10:00:00,"Learning Resources Serve It Up! Play Restaurant, Pretend Restaurant Set, 35 Pieces, Ages 3+",Y
92.0,44.0,Male,Scarf,Accessories,99.0,South Carolina,S,Green,Winter,4.6,Yes,Standard,1,Yes,18.0,Credit Card,Every 3 Months,92.0,view,2023-01-07,10:00:00,"Amscan 120175 Banner, 8' x 6 1/2"", Multi Color",Y
93.0,61.0,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,1,Yes,13.0,Venmo,Every 3 Months,93.0,like,2023-01-08,10:00:00,"Melissa & Doug K’s Kids Whose Tail? 8-Page Soft Activity Book, The Original (Great Gift for Girls and Boys - Best for Babies and Toddlers, All Ages)",Y
94.0,37.0,Male,Sweater,Clothing,62.0,Florida,M,Purple,Fall,4.5,Yes,Standard,1,Yes,46.0,Credit Card,Weekly,94.0,purchase,2023-01-09,10:00:00,"Bachmann Old-Time Box Car - Pennsylvania LINES - N Scale, Prototypical Oxide Red",Y
95.0,58.0,Male,Skirt,Clothing,76.0,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,1,Yes,28.0,Credit Card,Weekly,95.0,purchase,2023-01-10,10:00:00,Jumbo Foil Star Cutout (gold) Party Accessory (1 count),Y
96.0,37.0,Male,Sneakers,Footwear,100.0,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,1,Yes,48.0,PayPal,Monthly,96.0,view,2023-01-11,10:00:00,Aquarius I Heart Unicorns Playing Cards,Y
97.0,32.0,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,3.6,Yes,Express,1,Yes,43.0,Venmo,Every 3 Months,97.0,like,2023-01-12,10:00:00,"Great Eastern Mega Man X4 9"" Plush",Y
98.0,21.0,Male,Shoes,Footwear,92.0,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,1,Yes,37.0,Cash,Annually,98.0,view,2023-01-13,10:00:00,"Robinson Racing Products Robinson Racing 1710 Hardened 10T Pinion Gear 32P, Brown/A",Y
99.0,20.0,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,1,Yes,20.0,Bank Transfer,Annually,99.0,like,2023-01-14,10:00:00,Maisto R/C 1:14 Scale Lamborghini Huracan Radio Control Vehicle (Colors May Vary),Y
100.0,26.0,Male,Hoodie,Clothing,40.0,Missouri,XL,Indigo,Summer,3.7,Yes,Express,1,Yes,33.0,Debit Card,Quarterly,100.0,like,2023-01-15,10:00:00,Aquarius DC Wonder Woman Retro Playing Cards,Y
101.0,62.0,Male,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,Yes,Express,1,Yes,31.0,Cash,Fortnightly,101.0,purchase,2023-01-16,10:00:00,"MightySkins Skin Compatible with Parrot Bebop 2 – Slow Sloth | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA",Y
